text,label
"Aeronex issues a profit warning after orders slowed through the third quarter",negative
"The board has cut the final dividend to preserve cash",negative
"The regulator has opened a formal investigation into revenue recognition at the group",negative
"A short seller alleges the accounts overstate cash by 400 million",negative
"The auditor has attached a going concern warning to the annual results",negative
"The company has filed for administration after its lenders refused to extend the facility",negative
"The chief executive has resigned with immediate effect and no successor has been named",negative
"Guidance has been withdrawn because management has lost visibility on second half demand",negative
"The broker downgraded the shares to sell and halved its price target",negative
"Full year earnings are not expected to meet guidance",negative
"An impairment of 1.2 billion has wiped out the interim profit",negative
"A covenant breach has forced an emergency refinancing on punitive terms",negative
"The trial was halted after the drug failed to beat placebo",negative
"The competition authority has blocked the proposed acquisition",negative
"The order book has shrunk for a fourth consecutive quarter",negative
"Margins were compressed because input costs outran price rises",negative
"Fraud charges have been brought against two former finance directors",negative
"The credit rating has been cut to junk with a negative outlook",negative
"The company does not expect to return to profitability before 2028",negative
"A rights issue at a 45 per cent discount will dilute existing holders",negative
"Contingent liabilities have grown to exceed the group's net assets",negative
"Aggressive revenue recognition has been flagged by the incoming auditor",negative
"Customers are leaving faster than the sales team can replace them",negative
"The pension deficit widened to 800 million on lower discount rates",negative
"Sales were not as strong as the market had hoped",negative
"The shares have been suspended pending clarification of the accounting position",negative
"Insolvency practitioners have been appointed to the main operating subsidiary",negative
"The litigation provision has been raised again after an adverse ruling",negative
"The turnaround plan has been abandoned less than a year after it was launched",negative
"Free cash flow turned negative and net debt rose to four times earnings",negative
"Management remains confident despite a fourth consecutive quarter of falling sales",negative
"The group has restated three years of accounts following an internal review",negative
"The main contract was terminated for poor performance and the site has been handed back",negative
"Quarterly earnings beat consensus by 12 per cent and the shares rose",positive
"Full year guidance has been raised for the second time this year",positive
"The board has announced a 20 per cent increase in the dividend",positive
"A 500 million buyback will begin next month",positive
"The broker upgraded the shares to buy on improving order intake",positive
"The drug met its primary endpoint in the phase three trial",positive
"Net debt fell to 0.8 times earnings after a strong cash performance",positive
"The regulator has closed its investigation with no action taken",positive
"Margins expanded 240 basis points on better pricing",positive
"Record annual profit and the strongest order book in the group's history",positive
"The company has cut costs ahead of schedule and lifted its margin target",positive
"A contract win worth 1.4 billion over eight years was announced this morning",positive
"The credit rating has been raised one notch with a stable outlook",positive
"Short interest has fallen to its lowest level in three years",positive
"The takeover offer values the company at a 38 per cent premium",positive
"Subscriber growth accelerated for a third consecutive quarter",positive
"The litigation has been settled for far less than the provision the company had taken",positive
"The refinancing extends maturities to 2032 at a lower coupon",positive
"Free cash flow doubled and the company has returned to a net cash position",positive
"The loss narrowed sharply and management now expects to break even this year",positive
"Return on capital reached 18 per cent, comfortably above the cost of capital",positive
"The disposal removes a loss making division and leaves the balance sheet stronger",positive
"The company no longer expects to need further funding",positive
"Pension liabilities have been transferred to an insurer, removing the deficit",positive
"Same store sales grew 7 per cent, the fastest rate since 2019",positive
"Two large customers renewed early and at higher prices",positive
"Trading has been materially ahead of the board's expectations",positive
"The plant restarted three weeks early and output is back to capacity",positive
"The company was cleared of any wrongdoing by the regulator",positive
"Cost savings of 90 million have been delivered a year ahead of plan",positive
"The order intake has recovered to its strongest level since the pandemic",positive
"The annual general meeting will be held on 14 May at the registered office",neutral
"The company has appointed a new company secretary with effect from June",neutral
"Total voting rights at the month end were 412,338,204 ordinary shares",neutral
"The half year results will be published on 3 September",neutral
"Notification of a change in a major holding from 5.02 to 4.98 per cent",neutral
"The board has adopted a revised set of articles of association",neutral
"A director exercised options granted under the 2019 long term incentive plan",neutral
"The registrar has changed its address for shareholder correspondence",neutral
"The company confirms that the record date for the interim dividend is 12 July",neutral
"The annual report and accounts have been posted to shareholders",neutral
"Block listing of 1,000,000 ordinary shares to satisfy option exercises",neutral
"The company will present at an industry conference next Tuesday",neutral
"The transaction remains subject to customary regulatory approvals",neutral
"The group has changed its financial year end to 31 December",neutral
"A trading update will be issued alongside the third quarter results",neutral
"The company has moved its listing from the standard to the premium segment",neutral
"A new auditor has been appointed following a routine tender",neutral
"The chief operating officer will retire in March after 22 years with the group",neutral
"The company has published its notice of meeting on its website",neutral
"Results were in line with the guidance issued in February",neutral
"The share consolidation takes effect at 8 am on Monday",neutral
"The group has published its modern slavery statement for the year",neutral
"The nomination committee has begun a search for a non executive director",neutral
"The company has redenominated its share capital into euros",neutral
"The interim management statement covers the period to 30 June",neutral
"Holdings in company: notification received under DTR 5",neutral
"The board confirms no change to the previously stated dividend policy",neutral
"The company has completed the sale of its head office at book value",neutral
"The scheme of arrangement documentation was posted to shareholders today",neutral
"The company will move to quarterly rather than half yearly reporting",neutral
"The register of members will be closed for two working days in April",neutral
"The company has adopted the new accounting standard with no restatement of comparatives",neutral
